,df,icao,crc_valid,capability,capability_text,typecode,bds,subtype,selected_altitude,selected_altitude_source,baro_pressure_setting,selected_heading,nac_p,nic_baro,sil,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,tcas_operational,flight_status,flight_status_text,downlink_request,utility_message,altitude,squawk,icao_verified,magnetic_heading,indicated_airspeed,mach,baro_vertical_rate,inertial_vertical_rate,nac_v,groundspeed,track,vr_source,vertical_rate,geo_minus_baro,surveillance_status,nic_b,cpr_format,cpr_lat,cpr_lon,nuc_p,vertical_status,cross_link_capability,sensitivity_level,reply_information,supported_bds,version,nic_supplement_a,hrd,capability_class,operational_mode,sil_supplement,roll,true_track,track_rate,true_airspeed,selected_altitude_mcp,emergency_state
31,4,3C6542,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,3C6542,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,3C6542,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17,7816A1,True,,,19.0,"0,9",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,460.0,55.895503683412706,BARO,0.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,
40,11,3C6542,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
